Price,Close,High,Low,Open,Volume,Prediccion_RNN,Precio_Real
2019-09-18,9031.7001953125,9049.7001953125,8963.7998046875,9016.5,182235100.0,9011.089,9031.7001953125
2019-09-19,9136.0,9138.5,9027.7998046875,9043.099609375,168884400.0,9026.146,9136.0
2019-09-20,9179.0,9210.900390625,9132.2001953125,9137.0,405543700.0,9106.623,9179.0
2019-09-23,9093.599609375,9168.2998046875,9055.900390625,9154.900390625,161360300.0,9162.2295,9093.599609375
2019-09-24,9118.2001953125,9154.2001953125,9103.7998046875,9116.099609375,139483100.0,9126.829,9118.2001953125
2019-09-25,9085.2998046875,9119.2001953125,9000.900390625,9087.2001953125,148045500.0,9106.178,9085.2998046875
2019-09-26,9129.7001953125,9143.0,9061.400390625,9064.599609375,132267400.0,9092.652,9129.7001953125
2019-09-27,9184.099609375,9210.5,9131.0,9149.7001953125,127034300.0,9111.177,9184.099609375
2019-09-30,9244.599609375,9257.2998046875,9189.599609375,9194.7998046875,177878400.0,9161.809,9244.599609375
2019-10-01,9165.900390625,9298.7998046875,9165.099609375,9277.0,150847200.0,9232.691,9165.900390625
2019-10-02,8912.2001953125,9157.099609375,8912.2001953125,9150.099609375,193947900.0,9191.163,8912.2001953125
2019-10-03,8902.2001953125,8971.400390625,8850.599609375,8935.7998046875,152587800.0,8980.479,8902.2001953125
2019-10-04,8961.7998046875,8961.7998046875,8858.599609375,8944.2001953125,148747800.0,8897.743,8961.7998046875
2019-10-07,9044.099609375,9046.2998046875,8930.400390625,8954.7001953125,131080300.0,8931.683,9044.099609375
2019-10-08,8940.099609375,9071.5,8900.7998046875,9066.5,140370600.0,9005.687,8940.099609375
2019-10-09,8991.900390625,9035.599609375,8934.2001953125,8952.7001953125,103638000.0,8976.785,8991.900390625
2019-10-10,9104.400390625,9112.2001953125,8970.2998046875,8997.400390625,156096600.0,8969.213,9104.400390625
2019-10-11,9273.7998046875,9273.7998046875,9104.7998046875,9112.900390625,248406500.0,9055.836,9273.7998046875
2019-10-14,9246.5,9247.599609375,9195.2001953125,9229.2001953125,125125400.0,9206.847,9246.5
2019-10-15,9356.099609375,9370.2998046875,9278.2998046875,9292.0,191056900.0,9253.607,9356.099609375
2019-10-16,9386.7001953125,9398.599609375,9288.2001953125,9346.5,205491300.0,9330.645,9386.7001953125
2019-10-17,9340.0,9494.5,9340.0,9360.900390625,195287100.0,9381.25,9340.0
2019-10-18,9329.7998046875,9362.2001953125,9307.599609375,9310.2998046875,150240700.0,9342.925,9329.7998046875
2019-10-21,9402.2998046875,9424.2998046875,9342.099609375,9350.2998046875,167986800.0,9323.987,9402.2998046875
2019-10-22,9380.2001953125,9417.400390625,9344.599609375,9393.2998046875,139500300.0,9377.765,9380.2001953125
2019-10-23,9385.0,9392.2998046875,9332.400390625,9339.2998046875,146308800.0,9389.815,9385.0
2019-10-24,9391.7998046875,9448.0,9378.599609375,9413.5,157225400.0,9374.283,9391.7998046875
2019-10-25,9430.2001953125,9433.2998046875,9381.099609375,9409.900390625,124881200.0,9378.495,9430.2001953125
